mean_loss,epsilon
16.6204319,0.9999766
2.98648738861,0.9998569
1.74614751339,0.9996787
1.90359473228,0.9995356
1.6952174902,0.999406
1.71456611156,0.9992845
1.76016664505,0.9991486
1.40734183788,0.9989992
2.77378678322,0.9988417
1.61094129086,0.998722
1.94860482216,0.9985582
1.33985161781,0.9985285
1.7083414793,0.9983953
1.94533538818,0.9983395
1.33021819592,0.9981775
2.22175574303,0.9980137
1.65125727654,0.9979408
2.13439512253,0.9978553
1.58519947529,0.9977653
1.9810590744,0.9976375
1.84138417244,0.9975142
1.65008187294,0.9973963
1.94663465023,0.9972604
1.48417413235,0.9971254
1.58577561378,0.9969823
1.85940361023,0.9968383
1.51214551926,0.9966808
1.45648050308,0.9965098
1.44498693943,0.9963739
1.67823934555,0.996184
2.04412198067,0.9960706
1.56431508064,0.9959419
1.5908703804,0.9957781
1.55666661263,0.9956575
1.61853063107,0.9955441
1.54087781906,0.9953794
1.19329476357,0.99523
1.528455019,0.9950797
1.61082017422,0.9949015
2.07189369202,0.9947728
1.39118432999,0.9945658
2.1011390686,0.9945136
1.48653411865,0.9944308
1.50374341011,0.9944011
1.38965475559,0.9942103
1.67987287045,0.9941527
1.45034813881,0.9940339
1.70937561989,0.9939061
1.59033083916,0.9937486
1.2264316082,0.993583
1.75813281536,0.9935533
1.51353859901,0.9934057
1.30583238602,0.9932914
1.56143450737,0.9931474
1.52163004875,0.9929827
1.88113558292,0.9928189
1.53657603264,0.9926686
1.33124494553,0.9925507
1.33688080311,0.9924004
1.51553964615,0.9922726
1.54332792759,0.9921295
1.64037191868,0.9920737
2.25860834122,0.9919693
1.73581814766,0.9919324
2.03682041168,0.991828
1.85683834553,0.9916642
1.31720781326,0.9915985
1.44751882553,0.9915085
1.6448905468,0.9913798
1.61165678501,0.9912511
1.31060636044,0.9911089
1.43018972874,0.9909658
1.61887311935,0.9908308
1.44637227058,0.9906814
1.14061629772,0.9905608
1.71398043633,0.9904321
0.772612929344,0.9903736
1.34664976597,0.9902215
1.73307609558,0.9901009
1.82517516613,0.9899578
1.47013568878,0.9898066
1.49317789078,0.9896887
1.44580471516,0.989488
1.42274212837,0.9891874
1.21729338169,0.9890227
1.25954318047,0.9888319
1.25156450272,0.9887032
1.32610952854,0.9885178
1.42990756035,0.9884035
1.29983961582,0.9882721
1.68595397472,0.98812
1.01792287827,0.9880804
1.36311149597,0.9879166
1.55895149708,0.9878626
1.26985025406,0.9878059
1.26810729504,0.9877447
1.83060729504,0.9876646
1.66280114651,0.9875314
1.15038490295,0.9873739
2.02824139595,0.9873514
1.76415646076,0.9872038
1.72308373451,0.9870715
1.79316282272,0.9869572
1.76948404312,0.9868627
1.09113705158,0.9868303
1.63970005512,0.9866782
1.69556367397,0.986536
1.44218921661,0.9864145
1.57522439957,0.9862651
1.3457955122,0.9860995
1.19958138466,0.9859276
1.73973596096,0.9857998
1.68907082081,0.9856567
1.30228948593,0.9855082
1.6763818264,0.9853435
1.36491346359,0.9852301
1.35993802547,0.9850726
1.51425230503,0.9850186
1.54579353333,0.9848566
0.849327862263,0.9848197
1.44081115723,0.984715300001
1.19185817242,0.984554200001
1.30284512043,0.984390400001
1.74838709831,0.984211300001
1.12990760803,0.984076300001
1.63001298904,0.983994400001
1.55133712292,0.983940400001
1.65336894989,0.983824300001
1.38088738918,0.983763100001
1.37366735935,0.983681200001
1.17850542068,0.983591200001
1.57577908039,0.983426500001
1.51690661907,0.983219500001
1.34093165398,0.983105200001
1.30216646194,0.982934200001
1.56008160114,0.982791100001
1.72768127918,0.982768600001
1.42569053173,0.982713700001
1.48186075687,0.982657000001
1.14090287685,0.982630000001
1.32979869843,0.982597600001
1.4969984293,0.982420300001
1.61082458496,0.982311400001
1.09821248055,0.982228600001
1.49499952793,0.982079200001
2.02592206001,0.981967600001
1.20562255383,0.981906400001
3.08443880081,0.981757000001
1.71137344837,0.981592300001
1.20404231548,0.981473500001
2.06608390808,0.981331300001
1.25009810925,0.981202600001
1.37285196781,0.981067600001
15.5807561874,0.980903800001
1.50756919384,0.980787700001
1.12022840977,0.980762500001
1.61608970165,0.980619400001
1.82886195183,0.980461000001
1.42679297924,0.980333200001
1.42970788479,0.980175700001
1.562276721,0.980026300001
1.63221144676,0.979849900001
1.47263860703,0.979642900001
1.48357069492,0.979463800001
1.57504248619,0.979314400001
1.79257035255,0.979166800001
1.51428771019,0.979039000001
1.81527388096,0.978886900001
1.62759685516,0.978854500001
2.04273843765,0.978706000001
1.50484538078,0.978570100001
1.63883459568,0.978482800001
1.62574064732,0.978428800001
1.40128016472,0.978269500001
1.82248914242,0.978134500001
1.37987196445,0.977998600001
1.41145145893,0.977842000001
1.58011102676,0.977786200001
1.34881043434,0.977689000001
2.00059318542,0.977554000001
1.39159488678,0.977403700001
1.46175038815,0.977226400001
1.45212888718,0.977105800001
1.28083646297,0.976919500001
1.64169025421,0.976784500001
1.37624120712,0.976667500001
1.48253405094,0.976531600001
1.6463445425,0.976411000001
1.60691690445,0.976260700001
1.75953555107,0.976125700001
1.82414889336,0.976012300001
1.58783996105,0.975917800001
1.2943379879,0.975842200001
1.75754964352,0.975695500001
1.53959298134,0.975538900001
1.71866929531,0.975403000001
1.94435536861,0.975282400001
1.4930318594,0.975150100001
1.4954637289,0.975022300001
1.79975879192,0.974900800001
1.71662843227,0.974856700001
1.53568601608,0.974747800001
