epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,61,7,0.114754098361,0.515726751536
2,61,80,1.31147540984,0.412360368613
3,61,0,0.0,0.330275512682
4,61,319,5.22950819672,0.26416409418
5,61,0,0.0,0.212870325088
6,61,0,0.0,0.172558154454
7,61,33,0.540983606557,0.160397458146
8,61,0,0.0,0.188921941267
9,61,0,0.0,0.232649723445
10,61,1079,17.6885245902,0.39311493028
11,61,28,0.459016393443,0.876897246325
12,61,1264,20.7213114754,0.887112117524
13,61,1017,16.6721311475,1.07481774931
14,61,1282,21.0163934426,1.10845046295
15,61,1562,25.606557377,1.20925887805
16,61,1653,27.0983606557,1.23090011907
17,61,1624,26.6229508197,1.25099343835
18,61,1746,28.6229508197,1.33104440467
19,61,1745,28.606557377,1.32586864874
20,61,1781,29.1967213115,1.36990018252
21,61,1839,30.1475409836,1.34109687017
22,61,1805,29.5901639344,1.34019275736
23,61,1776,29.1147540984,1.36950714148
24,61,1797,29.4590163934,1.33990623312
25,61,1835,30.0819672131,1.33372525421
26,61,1845,30.2459016393,1.34576789681
27,61,1741,28.5409836066,1.32249173778
28,61,1873,30.7049180328,1.31895576858
29,61,1861,30.5081967213,1.28232309606
30,61,1820,29.8360655738,1.27444249815
31,61,1846,30.262295082,1.28784862085
32,61,1828,29.9672131148,1.3335429625
33,61,1871,30.6721311475,1.32327404196
34,61,1862,30.5245901639,1.30845844208
35,61,1838,30.131147541,1.32032269573
36,61,1855,30.4098360656,1.33790767366
37,61,1872,30.6885245902,1.34579317208
38,61,1842,30.1967213115,1.32605683208
39,61,1847,30.2786885246,1.31507785681
40,61,1831,30.0163934426,1.33825288976
41,61,1860,30.4918032787,1.3447827447
42,61,1859,30.4754098361,1.35293193487
43,61,1844,30.2295081967,1.34992287823
44,61,1814,29.737704918,1.33256867325
45,61,1836,30.0983606557,1.31053368915
46,61,1812,29.7049180328,1.29558002272
47,61,1825,29.9180327869,1.31411894409
48,61,1834,30.0655737705,1.32298747893
49,61,1833,30.0491803279,1.33181240975
50,61,1813,29.7213114754,1.32388185508
51,61,1816,29.7704918033,1.3361220647
52,61,1849,30.3114754098,1.32649412558
53,61,1820,29.8360655738,1.33721050716
54,61,1829,29.9836065574,1.32632646288
55,61,1825,29.9180327869,1.33906005615
56,61,1831,30.0163934426,1.34153384989
57,61,1815,29.7540983607,1.31686127766
58,61,1803,29.5573770492,1.31888740807
59,61,1809,29.6557377049,1.32825497999
60,61,1824,29.9016393443,1.33147493354
61,61,1802,29.5409836066,1.336880872
62,61,1816,29.7704918033,1.32716423308
63,61,1817,29.7868852459,1.31879181891
64,61,1807,29.6229508197,1.32679111457
65,61,1816,29.7704918033,1.31646281199
66,61,1799,29.4918032787,1.32729080354
67,61,1806,29.606557377,1.33058664642
68,61,1816,29.7704918033,1.33400849752
69,61,1798,29.4754098361,1.31085053641
70,61,1791,29.3606557377,1.3036905272
71,61,1790,29.3442622951,1.32288433155
72,61,1779,29.1639344262,1.31849267204
73,61,1815,29.7540983607,1.33875013278
74,61,1810,29.6721311475,1.34905748649
75,61,1787,29.2950819672,1.32719090718
76,61,1802,29.5409836066,1.32185087673
77,61,1808,29.6393442623,1.31180745963
78,61,1797,29.4590163934,1.31183441141
79,61,1807,29.6229508197,1.32017865616
80,61,1811,29.6885245902,1.33149853199
81,61,1822,29.868852459,1.32784192223
82,61,1805,29.5901639344,1.31819991341
83,61,1792,29.3770491803,1.32807276481
84,61,1771,29.0327868852,1.32894925537
85,61,1800,29.5081967213,1.32178782325
86,61,1805,29.5901639344,1.31463453545
87,61,1814,29.737704918,1.31502886874
88,61,1818,29.8032786885,1.32394224913
89,61,1804,29.5737704918,1.33709348913
90,61,1790,29.3442622951,1.32976706725
91,61,1781,29.1967213115,1.32197257238
92,61,1793,29.393442623,1.32877744892
93,61,1797,29.4590163934,1.33582429342
94,61,1799,29.4918032787,1.31993681936
95,61,1779,29.1639344262,1.31299666202
96,61,1806,29.606557377,1.29634972372
