mean_loss,epsilon
6.31199407578,0.9999235
2.02041316032,0.9998578
2.38410949707,0.9998047
1.95810163021,0.9996652
1.80735051632,0.9996103
2.1346642971,0.9995176
9.25276947021,0.9994465
1.62574517727,0.9993898
1.56016671658,0.9993196
1.64089763165,0.9992485
1.47170054913,0.999163
1.95699298382,0.9991099
1.6620182991,0.9990433
1.88451325893,0.9988741
1.45998597145,0.998821
1.64399039745,0.9987094
1.05632996559,0.9986626
1.41633486748,0.9986086
1.45537674427,0.9985357
1.48721134663,0.9984727
1.90001988411,0.9984214
1.60803616047,0.9983422
1.82885921001,0.9982045
1.4980045557,0.9981343
1.43293368816,0.9980245
1.50710141659,0.9979642
1.12893760204,0.9979255
1.18984246254,0.9978643
1.42740273476,0.9978031
1.64075136185,0.9977428
1.64525663853,0.997669
1.9286519289,0.9976168
1.55694079399,0.9975475
1.61947023869,0.9974836
1.94260334969,0.9974197
1.58159995079,0.9973675
1.7773244381,0.9972964
1.9686589241,0.9972397
1.73413789272,0.9971767
1.95261633396,0.9971191
1.53017675877,0.9970453
1.74935877323,0.9969886
1.40920341015,0.9969085
2.11031866074,0.9968653
2.14755535126,0.9967942
1.62811529636,0.9966277
1.45756173134,0.9965755
1.87407815456,0.9965206
1.46174883842,0.9964603
1.39401197433,0.9963946
1.81956374645,0.9963379
1.83924543858,0.9962686
1.89420938492,0.9962146
1.27586185932,0.9961435
1.39562416077,0.9959815
1.45503675938,0.99586
1.59158992767,0.9958096
1.80653297901,0.9957448
1.29534041882,0.9956944
1.29058134556,0.9956503
1.8391559124,0.9954901
1.68589711189,0.9953965
1.77390468121,0.9953407
1.33961141109,0.9952759
1.50195920467,0.9952165
1.69191026688,0.9951625
1.75020623207,0.9950932
1.71121895313,0.995023
1.42998981476,0.994978
1.74651300907,0.9949069
1.39435827732,0.9948556
1.56869900227,0.9947638
1.95248317719,0.9946927
1.82762467861,0.9946441
1.41640806198,0.9945865
1.43977117538,0.9945181
1.79834699631,0.9944722
1.54689180851,0.9944029
1.55233550072,0.9943363
1.87157475948,0.9942472
2.05922818184,0.9941869
1.40329408646,0.9940951
1.67811775208,0.9940276
1.49327075481,0.9939097
1.58000087738,0.9938341
1.54794454575,0.9937738
1.49824929237,0.9937261
1.71750879288,0.9936586
1.52331340313,0.9936064
1.78661751747,0.9935461
1.75149178505,0.9934489
1.72586262226,0.9933499
1.70313799381,0.9932527
1.62951409817,0.9931816
1.79532694817,0.993124
1.5145765543,0.9930277
